date,open,high,low,close,volume,average,barCount
2022-12-08 21:26:30,146.46,146.72,146.45,146.67,1867.72,146.568,872
2022-12-08 21:27:00,146.67,146.77,146.57,146.64,1563.76,146.68,782
2022-12-08 21:27:30,146.64,146.64,146.43,146.62,1116.46,146.538,683
2022-12-08 21:28:00,146.61,146.67,146.51,146.63,976.76,146.581,550
2022-12-08 21:28:30,146.65,146.72,146.49,146.58,1023.18,146.577,617
2022-12-08 21:29:00,146.58,146.59,146.43,146.47,1127.97,146.503,555
2022-12-08 21:29:30,146.47,146.56,146.4,146.56,1037.66,146.464,704
2022-12-08 21:30:00,146.57,146.66,146.45,146.63,1409.86,146.557,910
2022-12-08 21:30:30,146.64,146.77,146.55,146.68,1472.07,146.64,817
2022-12-08 21:31:00,146.69,146.79,146.56,146.67,1513.73,146.662,953
2022-12-08 21:31:30,146.65,146.75,146.57,146.63,1090.41,146.681,685
2022-12-08 21:32:00,146.62,146.84,146.6,146.82,1504.29,146.731,782
2022-12-08 21:32:30,146.8,146.94,146.74,146.93,1918.52,146.847,1016
2022-12-08 21:33:00,146.92,146.94,146.74,146.83,1663.33,146.838,895
2022-12-08 21:33:30,146.84,146.93,146.66,146.73,1424.86,146.803,825
2022-12-08 21:34:00,146.74,146.75,146.5,146.58,1315.86,146.57,863
2022-12-08 21:34:30,146.58,146.65,146.55,146.56,1089.34,146.608,606
2022-12-08 21:35:00,146.55,146.69,146.51,146.55,1779.17,146.598,1031
2022-12-08 21:35:30,146.55,146.56,146.25,146.34,2253.67,146.361,1253
2022-12-08 21:36:00,146.33,146.37,146.14,146.25,2288.8,146.23,1178
2022-12-08 21:36:30,146.25,146.53,146.24,146.48,1684.74,146.418,856
2022-12-08 21:37:00,146.49,146.61,146.4,146.61,1654.02,146.506,957
2022-12-08 21:37:30,146.61,146.8,146.53,146.53,1853.46,146.676,878
2022-12-08 21:38:00,146.53,146.54,146.32,146.39,1586.33,146.4,834
2022-12-08 21:38:30,146.39,146.55,146.38,146.53,1405.86,146.453,811
2022-12-08 21:39:00,146.55,146.61,146.43,146.44,1523.95,146.537,809
2022-12-08 21:39:30,146.44,146.44,146.19,146.29,2026.12,146.286,918
2022-12-08 21:40:00,146.28,146.33,146.15,146.31,1965.38,146.249,1092
2022-12-08 21:40:30,146.32,146.43,146.27,146.4,1480.17,146.338,809
2022-12-08 21:41:00,146.41,146.63,146.41,146.47,2029.57,146.518,1225
2022-12-08 21:41:30,146.47,146.55,146.37,146.54,1425.13,146.484,895
2022-12-08 21:42:00,146.53,146.6,146.38,146.39,1104.18,146.494,783
2022-12-08 21:42:30,146.39,146.53,146.35,146.42,1395.41,146.419,864
2022-12-08 21:43:00,146.42,146.57,146.41,146.53,1288.62,146.508,800
2022-12-08 21:43:30,146.53,146.6,146.45,146.49,1101.46,146.516,697
2022-12-08 21:44:00,146.49,146.5,146.41,146.44,1750.3,146.447,1083
2022-12-08 21:44:30,146.45,146.48,146.25,146.34,2730.33,146.353,1595
2022-12-08 21:45:00,146.34,146.4,146.19,146.31,3005.67,146.297,1812
2022-12-08 21:45:30,146.32,146.34,146.17,146.21,2065.86,146.22,1174
2022-12-08 21:46:00,146.21,146.42,146.07,146.08,3827.36,146.18,1907
2022-12-08 21:46:30,146.08,146.36,146.05,146.09,3358.42,146.11,2076
2022-12-08 21:47:00,146.09,146.15,146.02,146.04,2060.82,146.09,1072
2022-12-08 21:47:30,146.04,146.12,146.02,146.11,2137.74,146.082,958
2022-12-08 21:48:00,146.11,146.37,146.05,146.36,2891.59,146.173,1541
2022-12-08 21:48:30,146.37,146.41,146.28,146.37,2180.14,146.349,1414
2022-12-08 21:49:00,146.38,146.39,146.05,146.08,3135.05,146.184,1521
2022-12-08 21:49:30,146.08,146.13,145.92,145.95,4167.99,146.025,1925
2022-12-08 21:50:00,145.94,146.31,145.88,146.05,5586.51,146.109,3874
2022-12-08 21:50:30,146.05,146.1,145.95,146.07,2852.34,146.039,1677
2022-12-08 21:51:00,146.09,146.17,146.05,146.16,2114.88,146.108,1258
